absorb;впитывать, поглощать
overt;явный, открытый
drought;засуха
plunge;окунуться, нырнуть
yank;дергать
stitch;стежок, сшить, зашить
foe;недруг
poultry;домашняя птица
research;исследование, исследовать
discriminate;различать, разделять
perpetual;вечный, постоянный
fulfil;исполнить
chew;жевать
mainland;материк или большой остров
overtake;обгонять
parrot;попугай
average;средний
wit;ум, остроумие
queue;очередь
coerce;принуждать
come under;подвегрнуться
superb;превосходный
polite;вежливый
pupil;зрачок
sorrow;горе, скорбь
loss;потеря
decorate;украшать
chair;стул
smooth;гладкий
flu;грипп
bland;пресный, мягкий
candid;честный, беспристрастный
conventional;стандартный, общепринятый
skip;прыгать, перепрыгивать
invite;приглашать
reap;пожинать
run out of;исчерпать запас
be back;возвращаться
condition;состояние
powerful;мощный, действенный
operate;управлять, работать с
rock;качать, трясти
desire;желание, желать
designate;обозначать, называть
potent;мощный, могущественный
church;церковь
scrambled eggs;яичница
upcoming;предстоящий, наступающий
apply;применять, применяться
behavior;поведение
cork;пробка
catch on;внезапно понять
line up;встать в очередь
adult;взрослый
wail;вопить, вопль
attribute;приписывать, относить
superior;высший, превосходящий
link;связь, звено, ссылка
sense;чувство, осознание
dress;одеваться
wonder;удивление, удивляться
sober;трезвый
check on;проверить
pull over;притормозить ненадолго
footing;опора, основа
recount;пересказать
thank;благодарить
splinter;шепка, осколок, заноза
character;персонаж
sign up;записаться, зарегистрироваться
couple;пара
loyal;верный, преданный
drift;дрейфовать
prior;предварительный, предшествующий
shame;стыд, позор
focus;сосредоточить (ся)
incumbent;возложенный
pregnant;беременная
kind;добрый
scarf;шарф
testament;завет, завещание
sift;просеять
run over;переехать машиной
proclaim;провозглашать
wedding;свадьба
embassy;посольство
stringent;строгий
grape;виноград
nest;гнездо, гнездиться
article;статья
warrior;воин
record;запись
prosper;процветать, преуспевать
commit;совершить
wicked;злобный, безнравственный
dispose of;избавиться
put out;обременять, стеснять
billion;миллиард
quarry;карьер
underline;подчеркивнуть
put up;устроить
foreign;иностранный
root out;искоренить
crave;желать, жаждать, требовать
lid;крышка
freshen up;освежить(ся)
assist;помогать
virtue;достоинство, добродетель
local;местный
twig;прут, веточка
poll;опрос или голосование
mortgage;ипотека
anymore;больше не
pick up;прибрать
dismay;испуг, тревога, потрясение
elk;лось
cause;причина, быть причиной
take advantage of;воспользоваться
turmoil;смятение, беспорядок
cough;кашель
officer;служащий, должностное лицо
maiden;дева, девственница
placid;тихий, спокойный
intervene;вмешиваться
manual;ручной
breed;порода, поколение
touch;связь, контакт
lurch;крениться, шататься
achieve;достигать
state;государство
disguise;маскировать, маскировка
overcome;преодолеть, побороть
hatch;люк
determine;определить
set;установить, наладить
solitary;уединенный
bond;обязательство, облигация
sword;меч
challenge;вызов, необычная задача
thud;глухой удар
creep;гад, урод
accept;принять
pad;панель, клавиатура
patient;терпеливый
advertise;рекламировать
surf;прибой
primary;первичный, главный
cute;привлекательный, милый
tram;трамвай
limb;конечность
environment;среда, окружение
stifle;удушать
brassiere;бюстгальтер
clutter;беспорядок, куча всего
lamb;ягненок
intact;неповрежденный
fugitive;беглец
multitude;множество
round;округлить
tout;рекламировать, нявязывать
bleed;кровоточить
medicine;лекарство
handle;управляться, обращаться
ridiculous;смешной, нелепый
assault;нападение, нападать
demand;спрос
equip;оснащать, снаряжать
makeup;макияж
timid;робкий, пугливый
pale;бледный
vocabulary;словарный запас
mature;зрелый, зреть
glove;перчатка
prompt;побуждать, подстрекать
spend;тратить, проводить
wilderness;глушь, дикая местность
be up to;замышлять что-то
proverb;пословица
crimson;малиновый, багряный
ridicule;осмеяние
fence;забор, огораживать
peel;кожура, очищать
tide;волна, поток, прилив
column;столб, колонна
weak;слабый
horseback;верхом
library;библиотека
familiar;знакомый
flat;плоский, ровный
scrub;чистить, драить
overview;обзор
pagan;язычник
loose;свободный, болтающийся
argue;спорить, доказывать
pancake;блин, оладья
legacy;наследие, наследство
apprentice;ученик, стажёр
hurricane;ураган
stuff;вещи, всякая фигня
exercise;упражнение, тренироваться
dazzle;ослепить
ambiguous;двусмысленный, неоднозначный
canvas;холст
mean;предназначать
respective;соответственный
quest;поиск
ahead;вперёд, впереди
saint;святой
solitude;одиночество
deal in;заниматься
spark;искра, вспыхивать
lung;легкое
be into;любить, увлекаться
cuisine;кухня
flare;вспышка, вспыхивать
fuzzy;пушистый, ворсистый
take care;позаботиться, заняться
pass by;проходить мимо
furniture;мебель
barn;сарай
eclipse;затмение
break away;отделяться
pool;бассейн
rip off;обмануть, ободрать
bail;залог
disillusion;разочаровывать
general;общий
intern;стажёр
bridge;мост
put in;вложить
salt;соль
consult;советоваться
carry;носить
pour in;хлынуть, заполонить
feed (fed, fed);кормить
noodles;лапша
complex;сложный
pile up;сложить, навалить
gnaw on;грызть, обгладывать
globe;мир, земной шар
awhile;какое-то время
scissors;ножницы
consequence;последствие
pretext;повод
maze;лабиринт
bout;всплеск, приступ
torture;пытка, мучить
nerd;ботан, задрот
boost;повышать, усиливать
anniversary;годовщина
predict;предсказывать
void;недействительный, пустой
tackle;взяться за что-либо
shrimp;креветка
erase;стирать
sheep;овца
bubble;пузырь
squirrel;белка
feature;черта, особенность
confer;дать, принести, присудить
blow up;взорвать
anger;гнев
